"model_label","dispatch_id","kernel_entry","ov_match","kernel_alignment_status","kernel_entry_alignment_verified","primitive_id","primitive_type","implementation","net_id","iteration","execution_unit_key","is_internal_network_candidate","gtpin_kernel","gtpin_source_kind","gtpin_invocation_count","gtpin_total_execution_cycles","gtpin_avg_execution_cycles_per_invocation","execution_descriptor","pointer_coverage_match","ov_kernel_entry_present"
"tinyllama_model","0","reorder_weights_opt_1381_weight_0_0","matched","aligned","true","convert:Convert_99371","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1381_weight_0_0","exec_profile","4096000","17574036924","4290","InvocationCount=4096000;TotalExecutionCycles=17574036924;AvgExecutionCyclesPerInvocation=4290","true","true"
"tinyllama_model","1","reorder_weights_opt_1382_weight_0_0","matched","aligned","true","convert:Convert_99365","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1382_weight_0_0","exec_profile","720896","2913251552","4041","InvocationCount=720896;TotalExecutionCycles=2913251552;AvgExecutionCyclesPerInvocation=4041","true","true"
"tinyllama_model","2","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99359","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2939077872","4076","InvocationCount=720896;TotalExecutionCycles=2939077872;AvgExecutionCyclesPerInvocation=4076","true","true"
"tinyllama_model","3","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99353","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2909241374","4035","InvocationCount=720896;TotalExecutionCycles=2909241374;AvgExecutionCyclesPerInvocation=4035","true","true"
"tinyllama_model","4","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99347","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1044194050","3983","InvocationCount=262144;TotalExecutionCycles=1044194050;AvgExecutionCyclesPerInvocation=3983","true","true"
"tinyllama_model","5","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99341","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","127377472","3887","InvocationCount=32768;TotalExecutionCycles=127377472;AvgExecutionCyclesPerInvocation=3887","true","true"
"tinyllama_model","6","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99333","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","125381016","3826","InvocationCount=32768;TotalExecutionCycles=125381016;AvgExecutionCyclesPerInvocation=3826","true","true"
"tinyllama_model","7","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99327","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1086665310","4145","InvocationCount=262144;TotalExecutionCycles=1086665310;AvgExecutionCyclesPerInvocation=4145","true","true"
"tinyllama_model","8","reorder_weights_opt_1382_weight_0_0","matched","aligned","true","convert:Convert_99321","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1382_weight_0_0","exec_profile","720896","2953483392","4096","InvocationCount=720896;TotalExecutionCycles=2953483392;AvgExecutionCyclesPerInvocation=4096","true","true"
"tinyllama_model","9","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99315","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2955203370","4099","InvocationCount=720896;TotalExecutionCycles=2955203370;AvgExecutionCyclesPerInvocation=4099","true","true"
"tinyllama_model","10","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99309","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2952297594","4095","InvocationCount=720896;TotalExecutionCycles=2952297594;AvgExecutionCyclesPerInvocation=4095","true","true"
"tinyllama_model","11","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99303","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1073501540","4095","InvocationCount=262144;TotalExecutionCycles=1073501540;AvgExecutionCyclesPerInvocation=4095","true","true"
"tinyllama_model","12","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99297","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","127140638","3880","InvocationCount=32768;TotalExecutionCycles=127140638;AvgExecutionCyclesPerInvocation=3880","true","true"
"tinyllama_model","13","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99289","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","126864132","3871","InvocationCount=32768;TotalExecutionCycles=126864132;AvgExecutionCyclesPerInvocation=3871","true","true"
"tinyllama_model","14","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99283","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1103463672","4209","InvocationCount=262144;TotalExecutionCycles=1103463672;AvgExecutionCyclesPerInvocation=4209","true","true"
"tinyllama_model","15","reorder_weights_opt_1382_weight_0_0","matched","aligned","true","convert:Convert_99277","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1382_weight_0_0","exec_profile","720896","2959389120","4105","InvocationCount=720896;TotalExecutionCycles=2959389120;AvgExecutionCyclesPerInvocation=4105","true","true"
"tinyllama_model","16","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99271","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2898525038","4020","InvocationCount=720896;TotalExecutionCycles=2898525038;AvgExecutionCyclesPerInvocation=4020","true","true"
"tinyllama_model","17","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99265","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2877647492","3991","InvocationCount=720896;TotalExecutionCycles=2877647492;AvgExecutionCyclesPerInvocation=3991","true","true"
"tinyllama_model","18","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99259","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1072020960","4089","InvocationCount=262144;TotalExecutionCycles=1072020960;AvgExecutionCyclesPerInvocation=4089","true","true"
"tinyllama_model","19","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99253","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","128748662","3929","InvocationCount=32768;TotalExecutionCycles=128748662;AvgExecutionCyclesPerInvocation=3929","true","true"
"tinyllama_model","20","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99245","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","126527604","3861","InvocationCount=32768;TotalExecutionCycles=126527604;AvgExecutionCyclesPerInvocation=3861","true","true"
"tinyllama_model","21","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99239","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1041221468","3971","InvocationCount=262144;TotalExecutionCycles=1041221468;AvgExecutionCyclesPerInvocation=3971","true","true"
"tinyllama_model","22","reorder_weights_opt_1382_weight_0_0","matched","aligned","true","convert:Convert_99233","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1382_weight_0_0","exec_profile","720896","3026782108","4198","InvocationCount=720896;TotalExecutionCycles=3026782108;AvgExecutionCyclesPerInvocation=4198","true","true"
"tinyllama_model","23","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99227","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2879227690","3993","InvocationCount=720896;TotalExecutionCycles=2879227690;AvgExecutionCyclesPerInvocation=3993","true","true"
"tinyllama_model","24","reorder_weights_opt_1383_weight_0_0","matched","aligned","true","convert:Convert_99221","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1383_weight_0_0","exec_profile","720896","2876950624","3990","InvocationCount=720896;TotalExecutionCycles=2876950624;AvgExecutionCyclesPerInvocation=3990","true","true"
"tinyllama_model","25","reorder_weights_opt_1385_weight_0_0","matched","aligned","true","convert:Convert_99215","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1385_weight_0_0","exec_profile","262144","1079827896","4119","InvocationCount=262144;TotalExecutionCycles=1079827896;AvgExecutionCyclesPerInvocation=4119","true","true"
"tinyllama_model","26","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99209","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","135050016","4121","InvocationCount=32768;TotalExecutionCycles=135050016;AvgExecutionCyclesPerInvocation=4121","true","true"
"tinyllama_model","27","reorder_weights_opt_1386_weight_0_0","matched","aligned","true","convert:Convert_99201","reorder","reorder_weights_opt","0","0","n0_i0","true","reorder_weights_opt_1386_weight_0_0","exec_profile","32768","134756962","4112","InvocationCount=32768;TotalExecutionCycles=134756962;AvgExecutionCyclesPerInvocation=4112","true","true"
