execution_unit_key,logical_execution_index,net_id,iteration,node_id,parent_node_id,node_type,display_name,component_path,origin_op_name,resolved_op_type_name,primitive_id,primitive_type,implementation,kernel_entry,tool_kind,primary_metric_name,primary_metric_total,primary_metric_unit,dispatch_count,gtpin_invocation_count,gtpin_total_execution_cycles
n1_i6,6,1,6,n1_i6::component_group::(root),,component_group,(root),(root),,,,,,,performance,gtpin_total_execution_cycles,2376586508,cycles,9,1284,2376586508
n1_i6,6,1,6,n1_i6::component_group::embed_tokens,,component_group,embed_tokens,embed_tokens,,,,,,,performance,gtpin_total_execution_cycles,4742848,cycles,1,1024,4742848
n1_i6,6,1,6,n1_i6::component_group::layers.*/input_layernorm,,component_group,layers.*/input_layernorm,layers.*/input_layernorm,,,,,,,performance,gtpin_total_execution_cycles,39125768,cycles,22,5632,39125768
n1_i6,6,1,6,n1_i6::component_group::layers.*/mlp,,component_group,layers.*/mlp,layers.*/mlp,,,,,,,performance,gtpin_total_execution_cycles,6495031136,cycles,66,9152,6495031136
n1_i6,6,1,6,n1_i6::component_group::layers.*/post_attention_layernorm,,component_group,layers.*/post_attention_layernorm,layers.*/post_attention_layernorm,,,,,,,performance,gtpin_total_execution_cycles,40526366,cycles,22,5632,40526366
n1_i6,6,1,6,n1_i6::component_group::layers.*/self_attn,,component_group,layers.*/self_attn,layers.*/self_attn,,,,,,,performance,gtpin_total_execution_cycles,2236964855,cycles,376,122560,2236964855
n1_i6,6,1,6,n1_i6::component_group::rotary_emb,,component_group,rotary_emb,rotary_emb,,,,,,,performance,gtpin_total_execution_cycles,516165,cycles,6,99,516165
n1_i6,6,1,6,n1_i6::kernel::broadcast:/model/layers.0/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i6::primitive::broadcast:/model/layers.0/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand,Broadcast,broadcast:/model/layers.0/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,3738392,cycles,1,1024,3738392
n1_i6,6,1,6,n1_i6::kernel::broadcast:/model/layers.0/self_attn/Expand_1::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i6::primitive::broadcast:/model/layers.0/self_attn/Expand_1,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.0/self_attn/Expand_1,Broadcast,broadcast:/model/layers.0/self_attn/Expand_1,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,4109946,cycles,1,1024,4109946
n1_i6,6,1,6,n1_i6::kernel::broadcast:/model/layers.1/self_attn/Expand::broadcast_gpu_ref_6456514822857321615_0_0__sa,n1_i6::primitive::broadcast:/model/layers.1/self_attn/Expand,kernel,broadcast_gpu_ref_6456514822857321615_0_0__sa,layers.*/self_attn,/model/layers.1/self_attn/Expand,Broadcast,broadcast:/model/layers.1/self_attn/Expand,broadcast,broadcast_gpu_ref,broadcast_gpu_ref_6456514822857321615_0_0__sa,performance,gtpin_total_execution_cycles,6026060,cycles,1,1024,6026060
