"kernel_entry","mapping_kind","occurrence_index","gtpin_name","candidate_primitive_id","candidate_primitive_type","implementation","net_id","iteration","exec_index","source_file"
"convolution_gpu_bfyx_f16_1345978537392056220_0_0","unique_primitive","1","convolution_gpu_bfyx_f16_1345978537392056220_0_0","convolution:/layer3/layer3.0/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","1","0","28","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_f16_1345978537392056220_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_1345978537392056220_0_0","convolution:/layer3/layer3.0/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","2","0","28","dispatch_map_raw2.csv"
"convolution_gpu_bfyx_f16_15935904863189121067_0_0","unique_primitive","1","convolution_gpu_bfyx_f16_15935904863189121067_0_0","convolution:/layer2/layer2.0/conv2/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","1","0","16","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_f16_15935904863189121067_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_15935904863189121067_0_0","convolution:/layer2/layer2.0/conv2/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","2","0","16","dispatch_map_raw2.csv"
"convolution_gpu_bfyx_f16_1x1_11301203768358881115_0_0","unique_primitive","1","convolution_gpu_bfyx_f16_1x1_11301203768358881115_0_0","convolution:/layer1/layer1.0/downsample/downsample.0/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16_1x1","1","0","4","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_f16_1x1_11301203768358881115_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_1x1_11301203768358881115_0_0","convolution:/layer1/layer1.0/downsample/downsample.0/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16_1x1","2","0","4","dispatch_map_raw2.csv"
"convolution_gpu_bfyx_f16_1x1_17806129452567518898_0_0","unique_primitive","1","convolution_gpu_bfyx_f16_1x1_17806129452567518898_0_0","convolution:/layer2/layer2.0/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16_1x1","1","0","15","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_f16_1x1_17806129452567518898_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_1x1_17806129452567518898_0_0","convolution:/layer2/layer2.0/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16_1x1","2","0","15","dispatch_map_raw2.csv"
"convolution_gpu_bfyx_f16_2019073548513401881_0_0","unique_primitive","1","convolution_gpu_bfyx_f16_2019073548513401881_0_0","convolution:/layer1/layer1.0/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","1","0","5","dispatch_map_raw1.csv"
"convolution_gpu_bfyx_f16_2019073548513401881_0_0","unique_primitive","2","convolution_gpu_bfyx_f16_2019073548513401881_0_0","convolution:/layer1/layer1.0/conv1/Conv/WithoutBiases","convolution","convolution_gpu_bfyx_f16","2","0","5","dispatch_map_raw2.csv"
