"kernel_entry","mapping_kind","primitive_fanout","expected_occurrences","offline_occurrence_rows","dispatch_rows","sufficiency","reason","mapped_primitive_ids"
"convolution_gpu_bfyx_f16_1345978537392056220_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer3/layer3.0/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_13720713998678496926_0_0","shared_primitives","2","4","8","4","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer1/layer1.1/conv1/Conv/WithoutBiases;convolution:/layer1/layer1.2/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_15935904863189121067_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer2/layer2.0/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_18016549827154746994_0_0","shared_primitives","3","6","18","6","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer2/layer2.1/conv2/Conv/WithoutBiases;convolution:/layer2/layer2.2/conv2/Conv/WithoutBiases;convolution:/layer2/layer2.3/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_11301203768358881115_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer1/layer1.0/downsample/downsample.0/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_13143176461841059678_0_0","shared_primitives","3","6","18","6","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer2/layer2.1/conv1/Conv/WithoutBiases;convolution:/layer2/layer2.2/conv1/Conv/WithoutBiases;convolution:/layer2/layer2.3/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_14502731020992035906_0_0","shared_primitives","3","6","18","6","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer4/layer4.0/conv3/Conv/WithoutBiases;convolution:/layer4/layer4.1/conv3/Conv/WithoutBiases;convolution:/layer4/layer4.2/conv3/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_16212556866347025335_0_0","shared_primitives","3","6","18","6","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer1/layer1.0/conv3/Conv/WithoutBiases;convolution:/layer1/layer1.1/conv3/Conv/WithoutBiases;convolution:/layer1/layer1.2/conv3/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_17806129452567518898_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer2/layer2.0/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_4138751954898280671_0_0","shared_primitives","2","4","8","4","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer4/layer4.1/conv1/Conv/WithoutBiases;convolution:/layer4/layer4.2/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_547689880436035411_0_0","shared_primitives","6","12","72","12","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer3/layer3.0/conv3/Conv/WithoutBiases;convolution:/layer3/layer3.1/conv3/Conv/WithoutBiases;convolution:/layer3/layer3.2/conv3/Conv/WithoutBiases;convolution:/layer3/layer3.3/conv3/Conv/WithoutBiases;convolution:/layer3/layer3.4/conv3/Conv/WithoutBiases;convolution:/layer3/layer3.5/conv3/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_7824614608573370543_0_0","shared_primitives","4","8","32","8","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer2/layer2.0/conv3/Conv/WithoutBiases;convolution:/layer2/layer2.1/conv3/Conv/WithoutBiases;convolution:/layer2/layer2.2/conv3/Conv/WithoutBiases;convolution:/layer2/layer2.3/conv3/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_1x1_8638458454580344552_0_0","shared_primitives","5","10","50","10","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer3/layer3.1/conv1/Conv/WithoutBiases;convolution:/layer3/layer3.2/conv1/Conv/WithoutBiases;convolution:/layer3/layer3.3/conv1/Conv/WithoutBiases;convolution:/layer3/layer3.4/conv1/Conv/WithoutBiases;convolution:/layer3/layer3.5/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_2019073548513401881_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer1/layer1.0/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_2765516831506160634_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer4/layer4.0/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_3056265394892891115_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer4/layer4.0/downsample/downsample.0/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_4065784441082281624_0_0","shared_primitives","2","4","8","4","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer4/layer4.1/conv2/Conv/WithoutBiases;convolution:/layer4/layer4.2/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_497112008323573316_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer3/layer3.0/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_5655598150652728675_0_0","shared_primitives","3","6","18","6","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer1/layer1.0/conv2/Conv/WithoutBiases;convolution:/layer1/layer1.1/conv2/Conv/WithoutBiases;convolution:/layer1/layer1.2/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_5707757645185681634_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer4/layer4.0/conv1/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_7543907540957867454_0_0","shared_primitives","5","10","50","10","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","convolution:/layer3/layer3.1/conv2/Conv/WithoutBiases;convolution:/layer3/layer3.2/conv2/Conv/WithoutBiases;convolution:/layer3/layer3.3/conv2/Conv/WithoutBiases;convolution:/layer3/layer3.4/conv2/Conv/WithoutBiases;convolution:/layer3/layer3.5/conv2/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_8136662051360933988_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer2/layer2.0/downsample/downsample.0/Conv/WithoutBiases"
"convolution_gpu_bfyx_f16_8418700724475999034_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/layer3/layer3.0/downsample/downsample.0/Conv/WithoutBiases"
"convolution_gpu_bfyx_to_bfyx_f16_4370654348647957117_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convolution:/conv1/Conv/WithoutBiases"
"fully_connected_gpu_bf_io_gemm_10554338203459921666_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","fullyconnected:/fc/Gemm/WithoutBiases"
"pooling_gpu_blocked_17718859278101007469_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","maxpool:/maxpool/MaxPool"
"reduce_gpu_b_fs_yx_fsv16_17577769709185652434_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","reducemean:/avgpool/GlobalAveragePool"
"reorder_data_11475626742907933301_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convert:Convert_886"
"reorder_data_14584053691340162655_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","convert:fc.weight"
"reorder_data_fast_b1_12550024482704781809_0_0","unique_primitive","1","2","2","2","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","result:prob/sink_port_0"
"reorder_data_fast_b1_13028372483233600421_0_0","unique_primitive","1","1","1","2","insufficient_count_mismatch","Dispatch dump records more rows than expected occurrences; ordering cannot be trusted without deeper inspection.","reducemean:/avgpool/GlobalAveragePool_reorder_fullyconnected:/fc/Gemm/WithoutBiases"
"reorder_weights_opt_223_weight_0_0","unique_primitive","1","3","3","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_653_weights_reorder_52"
"reorder_weights_opt_224_weight_0_0","unique_primitive","1","3","3","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_650_weights_reorder_51"
"reorder_weights_opt_225_weight_0_0","unique_primitive","1","2","2","1","insufficient_count_mismatch","Dispatch dump records fewer rows than GTPin occurrences; network-level primitive logging is undercounting true launches.","constant:onnx::Conv_647_weights_reorder_50"
"reorder_weights_opt_229_weight_0_0","unique_primitive","1","1","1","1","sufficient_for_order_proxy","Dispatch rows and offline occurrences match in count; candidate occurrence-to-primitive mapping can be formed with (net_id, iteration, exec_index).","constant:onnx::Conv_635_weights_reorder_43"
